iter	Passed	Remaining
609	4545	32710
610	4551	32697
611	4558	32684
612	4565	32670
613	4571	32658
614	4578	32646
615	4585	32634
616	4592	32621
617	4599	32610
618	4606	32599
619	4612	32587
620	4619	32575
621	4626	32563
622	4633	32555
623	4640	32541
624	4646	32528
625	4653	32517
626	4660	32506
627	4667	32493
628	4674	32481
629	4681	32471
630	4687	32458
631	4694	32447
632	4701	32434
633	4708	32423
634	4715	32412
635	4722	32400
636	4728	32387
637	4735	32376
638	4742	32364
639	4748	32352
640	4755	32338
641	4762	32328
642	4769	32320
643	4776	32309
644	4784	32301
645	4791	32291
646	4797	32279
647	4804	32266
648	4811	32254
649	4818	32244
650	4824	32232
651	4831	32219
652	4838	32208
653	4845	32198
654	4852	32186
655	4858	32174
656	4865	32162
657	4872	32151
658	4879	32140
659	4885	32128
660	4892	32118
661	4899	32109
662	4907	32100
663	4913	32087
664	4920	32076
665	4927	32067
666	4934	32054
667	4941	32042
668	4947	32030
669	4954	32020
670	4961	32008
671	4968	31996
672	4974	31983
673	4981	31972
674	4988	31964
675	4995	31955
676	5003	31947
677	5010	31939
678	5017	31931
679	5024	31921
680	5032	31914
681	5039	31905
682	5046	31897
683	5054	31895
684	5061	31886
685	5069	31878
686	5076	31871
687	5083	31862
688	5091	31854
689	5098	31845
690	5105	31835
691	5112	31825
692	5119	31820
693	5127	31812
694	5134	31806
695	5142	31799
696	5149	31789
697	5156	31778
698	5163	31771
699	5170	31762
700	5177	31751
701	5185	31746
702	5193	31743
703	5200	31735
704	5207	31725
705	5214	31714
706	5221	31703
707	5228	31693
708	5234	31682
709	5241	31670
710	5248	31661
711	5255	31650
712	5262	31639
713	5268	31628
714	5275	31617
715	5282	31608
716	5289	31597
717	5296	31586
718	5303	31575
719	5310	31565
720	5316	31554
721	5323	31545
722	5330	31534
723	5337	31524
724	5344	31513
725	5351	31503
726	5358	31492
727	5365	31483
728	5372	31473
729	5378	31461
730	5385	31451
731	5392	31442
732	5399	31432
733	5406	31420
734	5412	31409
735	5419	31400
736	5426	31389
737	5433	31378
738	5440	31368
739	5447	31358
740	5454	31348
741	5460	31338
742	5468	31328
743	5475	31320
744	5481	31309
745	5488	31297
746	5495	31287
747	5502	31277
748	5509	31267
749	5515	31255
750	5522	31244
751	5529	31233
752	5536	31223
753	5542	31213
754	5549	31202
755	5556	31192
756	5563	31182
757	5569	31170
758	5576	31159
759	5583	31150
760	5590	31140
761	5597	31129
762	5604	31122
763	5611	31113
764	5618	31103
765	5625	31093
766	5632	31082
767	5638	31073
768	5645	31063
769	5652	31052
770	5659	31041
771	5666	31036
772	5673	31024
773	5680	31015
774	5687	31007
775	5694	30999
776	5702	30991
777	5709	30982
778	5716	30975
779	5724	30968
780	5730	30958
781	5738	30953
782	5746	30949
783	5753	30940
784	5760	30933
785	5768	30924
786	5775	30916
787	5782	30908
788	5790	30903
789	5797	30896
790	5804	30888
791	5811	30878
792	5818	30870
793	5826	30863
794	5833	30855
795	5840	30845
796	5847	30839
797	5855	30831
798	5861	30821
799	5869	30813
800	5876	30805
801	5884	30801
802	5892	30796
803	5899	30787
804	5906	30777
805	5913	30771
806	5920	30761
807	5927	30750
808	5934	30741
809	5940	30731
810	5947	30720
811	5954	30710
812	5961	30699
813	5968	30690
814	5974	30679
815	5981	30669
816	5988	30659
817	5995	30649
818	6001	30639
819	6008	30628
820	6015	30620
821	6022	30612
822	6029	30601
823	6036	30590
824	6042	30579
825	6049	30571
826	6056	30561
827	6063	30550
828	6069	30539
829	6076	30529
830	6083	30519
831	6090	30510
832	6097	30499
833	6103	30490
834	6110	30480
835	6117	30469
836	6123	30458
837	6130	30448
838	6137	30439
839	6144	30428
840	6150	30418
841	6158	30411
842	6165	30402
843	6172	30392
844	6179	30383
845	6186	30375
846	6192	30365
847	6199	30355
848	6206	30345
849	6213	30335
850	6220	30326
851	6226	30316
852	6233	30304
853	6240	30295
854	6247	30287
855	6254	30277
856	6260	30266
857	6267	30256
858	6274	30248
859	6281	30238
860	6288	30229
861	6295	30221
862	6302	30211
863	6309	30201
864	6315	30190
865	6322	30180
866	6329	30171
867	6335	30161
868	6342	30150
869	6349	30140
870	6356	30131
871	6363	30122
872	6369	30112
873	6376	30102
874	6383	30094
875	6390	30086
876	6397	30077
877	6404	30069
878	6412	30061
879	6419	30053
880	6426	30044
881	6434	30040
882	6441	30032
883	6448	30025
884	6456	30019
885	6463	30010
886	6470	30001
887	6477	29994
888	6484	29986
889	6491	29978
890	6499	29972
891	6506	29965
892	6513	29956
893	6521	29950
894	6528	29942
895	6535	29933
896	6542	29925
897	6549	29917
898	6556	29909
899	6563	29900
900	6571	29895
901	6578	29888
902	6586	29882
903	6593	29874
904	6600	29866
905	6607	29857
906	6614	29847
907	6620	29837
908	6627	29827
909	6634	29817
910	6641	29808
911	6648	29799
912	6654	29789
913	6661	29779
914	6668	29770
915	6675	29760
916	6681	29750
917	6688	29740
918	6695	29730
919	6702	29722
920	6709	29715
921	6716	29705
922	6722	29696
923	6729	29686
924	6736	29677
925	6743	29667
926	6750	29658
927	6756	29648
928	6763	29638
929	6770	29628
930	6777	29621
931	6784	29611
932	6790	29601
933	6797	29591
934	6804	29583
935	6811	29574
936	6818	29565
937	6825	29556
938	6832	29547
939	6838	29538
940	6846	29530
941	6853	29522
942	6860	29513
943	6872	29528
944	6879	29520
945	6886	29512
946	6893	29503
